Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
5 member(s) 5 organism(s),RNA similarity group I,MULTISPECIES: MraY family glycosyltransferase [Pseudomonas],431,431,95%,3e-148,72.64,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_109751412.1?report=genbank&log$=prottop&blast_rank=89&RID=05MTD29S016"",""WP_109751412.1"")"
8 member(s) 4 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas proteolytica],431,431,98%,4e-148,66.76,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133715678.1?report=genbank&log$=prottop&blast_rank=90&RID=05MTD29S016"",""WP_133715678.1"")"
4 member(s) 3 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas kuykendallii],431,431,99%,5e-148,68.13,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_245728246.1?report=genbank&log$=prottop&blast_rank=91&RID=05MTD29S016"",""WP_245728246.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MULTISPECIES: MraY family glycosyltransferase [unclassified Pseudomonas],431,431,99%,7e-148,68.22,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072458107.1?report=genbank&log$=prottop&blast_rank=92&RID=05MTD29S016"",""WP_072458107.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Geopseudomonas aromaticivorans],431,431,98%,8e-148,68.62,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_217682072.1?report=genbank&log$=prottop&blast_rank=93&RID=05MTD29S016"",""WP_217682072.1"")"
7 member(s) 5 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas sp. 17391],430,430,99%,8e-148,67.06,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_274121609.1?report=genbank&log$=prottop&blast_rank=94&RID=05MTD29S016"",""WP_274121609.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas vancouverensis],430,430,97%,1e-147,66.07,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093216421.1?report=genbank&log$=prottop&blast_rank=95&RID=05MTD29S016"",""WP_093216421.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. SWRI92],429,429,98%,2e-147,68.53,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186636989.1?report=genbank&log$=prottop&blast_rank=96&RID=05MTD29S016"",""WP_186636989.1"")"
3 member(s) 3 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas putida],429,429,98%,2e-147,67.16,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103443874.1?report=genbank&log$=prottop&blast_rank=97&RID=05MTD29S016"",""WP_103443874.1"")"
4 member(s) 4 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. NPDC077186],429,429,99%,2e-147,69.39,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_397488478.1?report=genbank&log$=prottop&blast_rank=98&RID=05MTD29S016"",""WP_397488478.1"")"
3 member(s) 3 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. UMAB-08],429,429,99%,2e-147,67.25,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_219064670.1?report=genbank&log$=prottop&blast_rank=99&RID=05MTD29S016"",""WP_219064670.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. DG56-2],429,429,95%,3e-147,67.68,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_136475088.1?report=genbank&log$=prottop&blast_rank=100&RID=05MTD29S016"",""WP_136475088.1"")"



		


