Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
144	TR	U6JW20	Ribosomal protein L7Ae/L30e/S12e/Gadd45 domain-containing protein OS=Eimeria mitis OX=44415 GN=EMH_0051190 PE=4 SV=1	Eimeria mitis	912	96	20.6	37.2	1.4
145	TR	A0AA36NAB0	WW domain-containing protein OS=Effrenium voratum OX=2562239 GN=EVOR1521_LOCUS27326 PE=4 SV=1	Effrenium voratum	934	96	21.8	38.1	1.4
146	TR	A0AAW1CQ53	Chitin-binding type-2 domain-containing protein OS=Rhynocoris fuscipes OX=488301 GN=O3M35_001790 PE=4 SV=1	Rhynocoris fuscipes	957	96	22.2	35.6	1.4
147	TR	A0A8J1IT98	Titin-like OS=Xenopus tropicalis OX=8364 GN=LOC116406866 PE=4 SV=1	Xenopus tropicalis	1101	96	19.8	41.1	1.4
148	TR	A0AAD8ECA1	Cell surface glycoprotein 1 (Fragment) OS=Diploptera punctata OX=6984 GN=L9F63_020874 PE=4 SV=1	Diploptera punctata	1125	96	20.6	37.8	1.4
149	TR	A0A9N9UVZ5	[histone H3]-trimethyl-L-lysine(9) demethylase (Fragment) OS=Clonostachys byssicola OX=160290 GN=CBYS24578_00001762 PE=3 SV=1	Clonostachys byssicola	1461	96	26.3	40.6	1.5
150	TR	A0A8H6NNT4	Vacuolar import and degradation protein 21 OS=Colletotrichum plurivorum OX=2175906 GN=CPLU01_01670 PE=3 SV=1	Colletotrichum plurivorum	1719	96	20.6	33.0	1.5
151	TR	A0A4Z1EIZ6	DUF6590 domain-containing protein OS=Botrytis tulipae OX=87230 GN=BTUL_0088g00620 PE=4 SV=1	Botrytis tulipae	2033	96	20.5	39.7	1.5
152	TR	A0A8C6KDY4	histone acetyltransferase OS=Nothobranchius furzeri OX=105023 GN=CREBBP PE=4 SV=1	Nothobranchius furzeri	2093	96	24.6	36.2	1.5
153	TR	A0A8C6KFJ1	histone acetyltransferase OS=Nothobranchius furzeri OX=105023 GN=CREBBP PE=4 SV=1	Nothobranchius furzeri	2169	96	24.6	36.2	1.5
154	TR	A0A8C6KGR7	histone acetyltransferase OS=Nothobranchius furzeri OX=105023 GN=CREBBP PE=4 SV=1	Nothobranchius furzeri	2173	96	24.6	36.2	1.5
155	TR	A0A3R7QEY5	Putative trichohyalin-like OS=Penaeus vannamei OX=6689 GN=C7M84_016745 PE=4 SV=1	Penaeus vannamei	2181	96	22.2	37.9	1.5
156	TR	A0ABQ2VII3	Tox-PL domain-containing protein OS=Streptomyces albospinus OX=285515 GN=GCM10010211_63810 PE=4 SV=1	Streptomyces albospinus	2311	96	24.4	35.4	1.5
157	TR	A0A8C6KIG6	histone acetyltransferase OS=Nothobranchius furzeri OX=105023 GN=CREBBP PE=4 SV=1	Nothobranchius furzeri	2353	96	24.6	36.2	1.5
158	TR	A0A8C6KF74	histone acetyltransferase OS=Nothobranchius furzeri OX=105023 GN=CREBBP PE=4 SV=1	Nothobranchius furzeri	2400	96	24.6	36.2	1.5
159	TR	U6G297	Uncharacterized protein OS=Eimeria praecox OX=51316 GN=EPH_0033020 PE=4 SV=1	Eimeria praecox	497	95	19.3	36.8	1.6
160	TR	A0ABR0IG06	Uncharacterized protein OS=Podospora pseudoanserina OX=2609844 GN=QC764_203330 PE=4 SV=1	Podospora pseudoanserina	543	95	17.9	34.1	1.6
161	TR	A0ABR0HNN5	Uncharacterized protein OS=Podospora pseudopauciseta OX=2093780 GN=QC763_203330 PE=4 SV=1	Podospora pseudopauciseta	546	95	19.7	34.2	1.6
162	TR	U6LTE6	Uncharacterized protein OS=Eimeria brunetti OX=51314 GN=EBH_0038840 PE=4 SV=1	Eimeria brunetti	582	95	20.9	37.4	1.7
163	TR	A0ABS4T2J4	Serine protease PepD OS=Nesterenkonia lacusekhoensis OX=150832 GN=JOF45_001685 PE=3 SV=1	Nesterenkonia lacusekhoensis	625	95	22.8	35.1	1.7
164	TR	A0A9W6EX80	Myb-like domain-containing protein OS=Pleodorina starrii OX=330485 GN=PLEST007459 PE=4 SV=1	Pleodorina starrii	632	95	23.8	37.9	1.7
165	TR	A0A151RJK5	Sporozoite surface protein 2 OS=Cajanus cajan OX=3821 GN=KK1_035854 PE=4 SV=1	Cajanus cajan	686	95	29.3	42.4	1.7
166	TR	A0A1J4MIA2	Uncharacterized protein OS=Cryptosporidium ubiquitum OX=857276 GN=cubi_02763 PE=4 SV=1	Cryptosporidium ubiquitum	721	95	21.5	37.3	1.8
167	TR	A0A9P3BVM0	Nuclear localization protein OS=Aspergillus viridinutans OX=75553 GN=Aspvir_006889 PE=4 SV=1	Aspergillus viridinutans	727	95	28.0	38.0	1.8
168	TR	A0A397G0Z6	Nuclear localization protein OS=Aspergillus thermomutatus OX=41047 GN=CDV56_102245 PE=4 SV=1	Aspergillus thermomutatus	731	95	26.8	37.6	1.8
169	TR	A0ABR3Z9C8	Uncharacterized protein OS=Ceratocystis pirilliformis OX=259994 GN=Cpir12675_002594 PE=4 SV=1	Ceratocystis pirilliformis	747	95	18.4	40.8	1.8
170	TR	A0A096LTJ4	SAM domain-containing protein OS=Poecilia formosa OX=48698 PE=4 SV=1	Poecilia formosa	886	95	21.9	37.1	1.8
171	TR	A0A9P9J358	WW domain-containing protein OS=Dactylonectria estremocensis OX=1079267 GN=B0J13DRAFT_675894 PE=4 SV=1	Dactylonectria estremocensis	923	95	20.5	38.6	1.8
172	TR	A0A674F5K4	Uncharacterized protein OS=Salmo trutta OX=8032 PE=4 SV=1	Salmo trutta	936	95	22.1	37.8	1.8
173	TR	A0A0N1IJ13	Uncharacterized protein OS=Leptomonas seymouri OX=5684 GN=ABL78_5693 PE=4 SV=1	Leptomonas seymouri	1174	95	23.7	36.2	1.9
174	TR	U6KMJ7	Uncharacterized protein OS=Eimeria mitis OX=44415 GN=EMH_0068240 PE=4 SV=1	Eimeria mitis	1287	95	22.8	37.0	1.9
175	TR	A0A1E4T336	Mediator complex subunit 15 KIX domain-containing protein OS=[Candida] arabinofermentans NRRL YB-2248 OX=983967 GN=CANARDRAFT_127516 PE=4 SV=1	[Candida] arabinofermentans NRRL YB-2248	1376	95	22.0	35.9	1.9
176	TR	A0AAD5K2Y2	Uncharacterized protein OS=Phascolomyces articulosus OX=60185 GN=BDA99DRAFT_574764 PE=4 SV=1	Phascolomyces articulosus	1379	95	23.6	35.6	1.9
177	TR	A0ABR3X890	Uncharacterized protein OS=Diaporthe australafricana OX=127596 GN=Daus18300_004598 PE=4 SV=1	Diaporthe australafricana	1382	95	27.2	41.4	1.9
178	TR	A0ABR4GHT4	Uncharacterized protein OS=Aspergillus keveii OX=714993 GN=BJX66DRAFT_333953 PE=4 SV=1	Aspergillus keveii	1385	95	24.2	38.6	1.9
179	TR	A0AB40DGY9	Regulating synaptic membrane exocytosis protein 2 isoform X24 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	1392	95	20.2	35.1	1.9
180	TR	A0AB40DH87	Regulating synaptic membrane exocytosis protein 2 isoform X22 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	1433	95	20.2	35.1	1.9
181	TR	A0A8J2KS79	Uncharacterized protein OS=Allacma fusca OX=39272 GN=AFUS01_LOCUS30309 PE=4 SV=1	Allacma fusca	1460	95	23.9	40.1	1.9
182	TR	G3TIN2	Mediator of DNA damage checkpoint protein 1 OS=Loxodonta africana OX=9785 GN=MDC1 PE=4 SV=1	Loxodonta africana	1632	95	25.5	38.2	2.0
183	TR	A0AB40DF95	Regulating synaptic membrane exocytosis protein 2 isoform X21 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	1656	95	20.2	35.1	2.0
184	TR	A0AB40DHC4	Regulating synaptic membrane exocytosis protein 2 isoform X20 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	1670	95	20.2	35.1	2.0
185	TR	A0ABQ7NTQ5	Uncharacterized protein OS=Brassica rapa subsp. trilocularis OX=1813537 GN=A01p012200.1_BraROA PE=3 SV=1	Brassica rapa subsp. trilocularis	1805	95	19.6	35.6	2.0
186	TR	A0AB40DES2	Rab-3-interacting molecule unc-10 isoform X19 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	1938	95	20.2	35.1	2.0
187	TR	A0AB40DES9	Rab-3-interacting molecule unc-10 isoform X18 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	1939	95	20.2	35.1	2.0
188	TR	A0AB40DF04	Regulating synaptic membrane exocytosis protein 2 isoform X17 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	1962	95	20.2	35.1	2.0
189	TR	A0AB40DIA0	Regulating synaptic membrane exocytosis protein 2 isoform X16 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	1970	95	20.2	35.1	2.0
190	TR	A0AB40DF48	Regulating synaptic membrane exocytosis protein 2 isoform X15 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	1976	95	20.2	35.1	2.0
191	TR	A0AB40DJR7	Uncharacterized protein Rim isoform X14 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	1979	95	20.2	35.1	2.0
192	TR	A0AB40DGX4	Uncharacterized protein Rim isoform X13 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	1980	95	20.2	35.1	2.0
193	TR	A0AB40DJ51	Uncharacterized protein Rim isoform X12 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	2244	95	20.2	35.1	2.0
194	TR	A0AB40DEQ4	Uncharacterized protein Rim isoform X11 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	2285	95	20.2	35.1	2.0
195	TR	A0A1S3QAU3	histone acetyltransferase OS=Salmo salar OX=8030 GN=LOC106590442 PE=4 SV=2	Salmo salar	2301	95	24.7	35.6	2.0
196	TR	A0A1S3QAH4	histone acetyltransferase OS=Salmo salar OX=8030 GN=LOC106590442 PE=4 SV=2	Salmo salar	2391	95	24.7	35.6	2.0
197	TR	A0A1S3QAG7	histone acetyltransferase OS=Salmo salar OX=8030 GN=LOC106590442 PE=4 SV=2	Salmo salar	2411	95	24.7	35.6	2.0
198	TR	A0A1S3QAF7	histone acetyltransferase OS=Salmo salar OX=8030 GN=LOC106590442 PE=4 SV=2	Salmo salar	2412	95	24.7	35.6	2.0
199	TR	A0AB40DF77	Uncharacterized protein Rim isoform X10 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	2508	95	20.2	35.1	2.0
200	TR	A0AB40DHA8	Uncharacterized protein Rim isoform X9 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	2522	95	20.2	35.1	2.0
201	TR	A0AB40DEQ1	Uncharacterized protein Rim isoform X8 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	2523	95	20.2	35.1	2.0
202	TR	A0AB40DER1	Uncharacterized protein Rim isoform X7 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	2725	95	20.2	35.1	2.0
203	TR	U6M1V8	RNA-binding protein, putative OS=Eimeria maxima OX=5804 GN=EMWEY_00014390 PE=4 SV=1	Eimeria maxima	2757	95	19.6	37.8	2.0
204	TR	A0AB40DEY9	Uncharacterized protein Rim isoform X6 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	2787	95	20.2	35.1	2.0
205	TR	A0AB40DI86	Uncharacterized protein Rim isoform X5 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	2804	95	20.2	35.1	2.0
206	TR	A0AB40DJQ2	Uncharacterized protein Rim isoform X3 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	2814	95	20.2	35.1	2.0
207	TR	A0AB40DF29	Uncharacterized protein Rim isoform X4 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	2814	95	20.2	35.1	2.0
208	TR	B4IBB7	GM15331 OS=Drosophila sechellia OX=7238 GN=Dsec\GM15331 PE=4 SV=1	Drosophila sechellia	2819	95	21.0	38.2	2.0
209	TR	A0AB40ACT1	Uncharacterized protein Rim isoform X2 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	2822	95	20.2	35.1	2.0
210	TR	A0AB40DGV8	Uncharacterized protein Rim isoform X1 OS=Drosophila suzukii OX=28584 GN=Rim PE=4 SV=2	Drosophila suzukii	2828	95	20.2	35.1	2.0
211	TR	A0ACC0J7C9	Uncharacterized protein OS=Choristoneura fumiferana OX=7141 GN=MSG28_008592 PE=4 SV=1	Choristoneura fumiferana	5382	95	22.4	39.0	2.1
212	TR	U6N875	Uncharacterized protein OS=Eimeria necatrix OX=51315 GN=ENH_00077320 PE=4 SV=1	Eimeria necatrix	461	94	18.8	38.5	2.1
213	TR	A0A8H4USP8	Involucrin repeat protein OS=Fusarium zealandicum OX=1053134 GN=FZEAL_1836 PE=4 SV=1	Fusarium zealandicum	7540	95	24.7	42.0	2.1
214	TR	A0ACB7FEZ9	Uncharacterized protein OS=Nibea albiflora OX=240163 GN=GBF38_003891 PE=4 SV=1	Nibea albiflora	483	94	21.2	39.7	2.1
215	TR	A0A9N9XF47	Zasp-like motif domain-containing protein OS=Diabrotica balteata OX=107213 GN=DIABBA_LOCUS10015 PE=4 SV=1	Diabrotica balteata	515	94	20.6	38.1	2.2
216	TR	A0ACC2FWP5	Uncharacterized protein OS=Dallia pectoralis OX=75939 GN=DPEC_G00248590 PE=4 SV=1	Dallia pectoralis	535	94	22.4	34.2	2.2
217	TR	A0A9N9XD96	Zasp-like motif domain-containing protein OS=Diabrotica balteata OX=107213 GN=DIABBA_LOCUS10015 PE=4 SV=1	Diabrotica balteata	548	94	20.6	38.1	2.2
218	TR	A0AAJ0FSR4	cAMP-dependent protein kinase (Fragment) OS=Conoideocrella luteorostrata OX=1105319 GN=TPK2_2 PE=4 SV=1	Conoideocrella luteorostrata	549	94	25.3	39.7	2.2
219	TR	A0ABV4J7H1	non-specific serine/threonine protein kinase OS=Streptomyces pimonensis OX=2860288 GN=KYY02_30775 PE=4 SV=1	Streptomyces pimonensis	552	94	35.6	42.2	2.2
220	TR	A0A940XR29	non-specific serine/threonine protein kinase OS=Streptomyces liliiviolaceus OX=2823109 GN=J8N05_10590 PE=4 SV=1	Streptomyces liliiviolaceus	565	94	35.9	46.7	2.2
221	TR	A0A0G2K5E1	Proline rich 4 OS=Rattus norvegicus OX=10116 GN=Prr4 PE=4 SV=3	Rattus norvegicus	294	93	21.5	38.6	2.2
222	TR	F2U708	Uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) OX=946362 GN=PTSG_12141 PE=4 SV=1	Salpingoeca rosetta (strain ATCC 50818 / BSB-021)	602	94	22.3	37.9	2.3
223	TR	A0ABQ7GB99	WW domain-containing protein OS=Dunaliella salina OX=3046 GN=DUNSADRAFT_12518 PE=4 SV=1	Dunaliella salina	608	94	18.9	38.9	2.3
224	TR	A0A5N5WC04	non-specific serine/threonine protein kinase OS=Streptomyces mobaraensis OX=35621 GN=FRZ00_04095 PE=4 SV=1	Streptomyces mobaraensis	634	94	35.6	39.1	2.3
225	TR	A0A1V6S952	non-specific serine/threonine protein kinase (Fragment) OS=Penicillium flavigenum OX=254877 GN=PENFLA_c091G05836 PE=4 SV=1	Penicillium flavigenum	707	94	23.3	36.2	2.3
226	TR	A0A2A9PBD5	Rho-GAP domain-containing protein OS=Ophiocordyceps unilateralis OX=268505 GN=XA68_14115 PE=4 SV=1	Ophiocordyceps unilateralis	841	94	25.9	42.9	2.4
227	TR	A0ABU0I6P2	Outer membrane protein OmpA-like peptidoglycan-associated protein OS=Rhizobium paknamense OX=1206817 GN=QO005_000197 PE=4 SV=1	Rhizobium paknamense	858	94	23.4	34.3	2.4
228	TR	A0A168D2Z4	Vacuolar protein sorting-associated protein 27 OS=Ascosphaera apis ARSEF 7405 OX=392613 GN=AAP_00947 PE=3 SV=1	Ascosphaera apis ARSEF 7405	865	94	25.1	39.3	2.4
229	TR	D3BAG0	Myb domain-containing protein OS=Heterostelium pallidum (strain ATCC 26659 / Pp 5 / PN500) OX=670386 GN=PPL_05536 PE=4 SV=1	Heterostelium pallidum (strain ATCC 26659 / Pp 5 / PN500)	873	94	21.3	40.9	2.4
230	TR	A0A096M263	SAM domain-containing protein OS=Poecilia formosa OX=48698 PE=4 SV=1	Poecilia formosa	888	94	23.1	38.4	2.4
231	TR	A0AAD1TL97	CREB-regulated transcription coactivator 2 OS=Pelobates cultripes OX=61616 GN=PECUL_23A046533 PE=4 SV=1	Pelobates cultripes	895	94	24.2	36.5	2.4
232	TR	A0AAD1THQ1	CREB-regulated transcription coactivator 2 OS=Pelobates cultripes OX=61616 GN=PECUL_23A046533 PE=4 SV=1	Pelobates cultripes	906	94	24.2	36.5	2.4
233	TR	A0ABN8B9N6	Uncharacterized protein OS=Chilo suppressalis OX=168631 GN=CHILSU_LOCUS7309 PE=4 SV=1	Chilo suppressalis	931	94	21.1	34.7	2.5
234	TR	U6H1G2	K-box domain-containing protein OS=Eimeria praecox OX=51316 GN=EPH_0015170 PE=4 SV=1	Eimeria praecox	940	94	18.2	37.8	2.5
235	TR	A0A409W0D0	Vacuolar protein sorting-associated protein 27 OS=Gymnopilus dilepis OX=231916 GN=CVT26_007170 PE=3 SV=1	Gymnopilus dilepis	967	94	25.9	39.5	2.5
236	TR	A0A067QWA9	KHDC4/BBP-like KH-domain type I domain-containing protein OS=Zootermopsis nevadensis OX=136037 GN=L798_15733 PE=4 SV=1	Zootermopsis nevadensis	987	94	24.4	37.3	2.5
237	TR	A0A418YCJ8	Ribonuclease E OS=Motilimonas pumila OX=2303987 GN=rne PE=3 SV=1	Motilimonas pumila	991	94	22.9	42.9	2.5
238	TR	A0AAD1THM3	CREB-regulated transcription coactivator 2 OS=Pelobates cultripes OX=61616 GN=PECUL_23A046533 PE=4 SV=1	Pelobates cultripes	1011	94	24.2	36.5	2.5
239	TR	A0A1I7ULH4	Retinitis pigmentosa 1-like 1 protein OS=Caenorhabditis tropicalis OX=1561998 PE=4 SV=1	Caenorhabditis tropicalis	1052	94	22.5	39.6	2.5
240	TR	A0A8C8DEC5	C2H2-type domain-containing protein OS=Oryzias sinensis OX=183150 PE=4 SV=1	Oryzias sinensis	363	93	22.4	37.6	2.5
241	TR	U6JZE4	Uncharacterized protein OS=Eimeria mitis OX=44415 GN=EMH_0055500 PE=4 SV=1	Eimeria mitis	1143	94	21.1	40.4	2.5
242	TR	A0AAD1TLV6	CREB-regulated transcription coactivator 2 isoform X1 OS=Pelobates cultripes OX=61616 GN=PECUL_23A046533 PE=3 SV=1	Pelobates cultripes	1162	94	24.2	36.5	2.5
243	TR	U6MSZ2	Uncharacterized protein (Fragment) OS=Eimeria necatrix OX=51315 GN=ENH_00007180 PE=4 SV=1	Eimeria necatrix	243	92	28.7	51.2	2.5
244	TR	A1ZBB4	Uncharacterized protein, isoform B OS=Drosophila melanogaster OX=7227 GN=hnRNP U PE=1 SV=1	Drosophila melanogaster	1271	94	18.4	34.6	2.5
245	TR	A8E6M1	GH01011p OS=Drosophila melanogaster OX=7227 GN=CG5477 PE=1 SV=1	Drosophila melanogaster	1271	94	18.4	34.6	2.5
246	TR	E1JGL8	Uncharacterized protein, isoform C OS=Drosophila melanogaster OX=7227 GN=Dmel\CG30122 PE=1 SV=1	Drosophila melanogaster	1272	94	18.4	34.6	2.5
247	TR	A0A267G828	BAT2_N domain-containing protein (Fragment) OS=Macrostomum lignano OX=282301 GN=BOX15_Mlig020516g1 PE=4 SV=1	Macrostomum lignano	1276	94	22.5	32.1	2.6
248	TR	A0A4W5R9J2	BRCA2-interacting transcriptional repressor EMSY OS=Hucho hucho OX=62062 PE=4 SV=1	Hucho hucho	1280	94	23.1	38.2	2.6
249	TR	A0A6P8K359	Regulating synaptic membrane exocytosis protein 2 isoform X17 OS=Drosophila mauritiana OX=7226 GN=LOC117142965 PE=4 SV=1	Drosophila mauritiana	1375	94	21.1	38.4	2.6
250	TR	A0A6P8K2Z7	Regulating synaptic membrane exocytosis protein 2 isoform X15 OS=Drosophila mauritiana OX=7226 GN=LOC117142965 PE=4 SV=1	Drosophila mauritiana	1416	94	21.1	38.4	2.6
